is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,51.0,1,70259.266,11998.121,0.0,1885200.0,1955.8545009664613,15.14269165459173
1,49.0,3,11890.03,0.0,0.0,800.0,3468.492072503748,7.377759298852644
1,68.0,1,0.0,0.0,20537.324,-7300.0,8149.240223365441,-9.58877681238774
1,35.0,3,11890.03,0.0,0.0,121270.0,5539.3732359256755,12.398921924227782
0,28.0,1,91877.51,724.21094,0.0,263000.0,15357.67340429527,13.17305649172346
0,64.0,2,34589.18,0.0,19564.504,19350.0,3505.009958644431,10.563594879685567
0,60.0,4,413989.22,31346.443,0.0,6268400.0,1312.6757250874316,16.34417887719115
0,37.0,2,0.0,0.0,43236.473,-3598.0,2133.533880720216,-8.881280614381998
0,68.0,1,648547.1,49505.76,0.0,9482000.0,3783.696189505813,16.75805300300415
1,56.0,2,86472.945,0.0,12970.941,822500.0,1725.531765294348,14.31325094218198
0,72.0,3,41074.65,0.0,22699.148,233720.0,1249.263214818402,13.055026277232896
0,60.0,1,929584.2,66584.17,0.0,12478500.0,723.1869065139903,17.032664901934137
0,19.0,1,11890.03,0.0,0.0,-12750.0,22084.186032923753,-10.146433732684388
0,72.0,1,12970942.0,3891282.5,678812.6,1058167420.0,2.918542642483792,21.4729515803895
0,71.0,2,16213.678,0.0,0.0,102000.0,2033.4610899562413,12.225875272850384
0,31.0,1,216182.36,54.04559,0.0,406600.0,8110.264480913441,13.60873236073784
0,39.0,1,475601.2,0.0,0.0,927500.0,9043.368291508408,14.433395254023964
1,47.0,1,626928.9,1729.4589,0.0,3316000.0,1207.7049332683202,15.70741697579729
0,67.0,1,0.0,104848.445,209696.89,13111880.0,1972.5009306142963,17.082176428001965
0,40.0,3,56207.414,0.0,0.0,193360.0,4732.109522121722,12.865456195943995
1,58.0,2,0.0,0.0,0.0,-1000.0,5259.619231096139,-7.600902709541988
0,92.0,1,0.0,2053.7324,49721.945,993400.0,10890.75539943312,14.502035862215584
0,75.0,1,0.0,540.45593,134033.06,1372300.0,12302.57456601549,14.825145902817802
0,67.0,1,594501.5,13079.033,21618.236,12489600.0,6633.395296159554,17.03355403652838
0,26.0,3,19456.412,0.0,0.0,18030.0,2166.5223884099128,10.492939497526349
0,84.0,1,0.0,114792.836,354539.1,9083000.0,3757.285429908839,16.7150622730443
0,26.0,1,59450.15,0.0,0.0,146030.0,13174.043844066096,12.584714539606184
0,51.0,1,164298.6,483167.6,0.0,63764000.0,604.3536020345045,18.66384650629562
0,56.0,1,756.6383,52640.406,0.0,9898500.0,665.9118431745067,16.80104096903367
0,34.0,4,122143.04,0.0,216.18236,94910.0,5695.609468295627,12.153831533712236
0,30.0,1,128628.51,0.0,0.0,120200.0,21195.17812474555,12.390059481660494
1,48.0,1,36751.004,0.0,0.0,153090.0,18512.6443233614,12.63192844329674
0,38.0,1,281037.06,0.0,0.0,2288000.0,13222.179761816486,15.33633581204182
0,82.0,1,30265.531,1615963.1,229153.31,68744700.0,49.565934354916024,18.73905738119015
0,59.0,1,0.0,64314.254,75663.83,17315000.0,2829.182963907134,17.360230916378605
0,53.0,1,545860.5,338325.4,0.0,96195000.0,53.7310000311637,19.075035119793156
1,42.0,3,0.0,0.0,0.0,-4400.0,2302.667091854597,-9.08250701337952
1,77.0,1,0.0,0.0,19456.412,2090.0,8340.04574157108,8.33806658275192
0,56.0,1,75663.83,0.0,0.0,178350.0,7761.189594884208,12.784650371354845
0,71.0,1,0.0,603148.8,45398.297,91257000.0,57.31536229787728,19.02233744037335
0,39.0,1,296169.84,15673.222,0.0,1218000.0,1985.0752661481129,14.705867907812094
0,64.0,2,34589.18,0.0,18483.592,25150.0,3515.8095096376833,10.825760356483071
0,38.0,4,185916.83,0.0,0.0,1294700.0,1029.6497407789475,14.766936746606833
0,73.0,1,0.0,1714326.1,284063.62,69416000.0,48.66830798049493,18.748775127015406
1,74.0,1,0.0,30265.531,39993.74,1221800.0,5915.995195356254,14.708982919757917
0,37.0,1,99443.89,162.13678,0.0,870700.0,8967.22385341087,14.370199945376982
1,68.0,2,0.0,0.0,10592.936,-2919.0,2203.4479122199127,-8.67214358075485
0,26.0,3,27022.795,0.0,0.0,4990.0,3280.577396737307,9.20833837934563
0,28.0,1,214020.55,1405.1854,0.0,2859000.0,10731.640195272765,15.559129651864424
0,36.0,3,30265.531,0.0,0.0,12350.0,8015.932675264888,10.114558524255171
1,26.0,3,74582.914,0.0,0.0,10070.0,8921.649734700164,9.910463168737918
1,59.0,2,0.0,0.0,11890.03,40001.0,3049.5937355991036,11.289806913499769
0,78.0,1,0.0,4864.103,270227.97,1324900.0,6474.218580264691,14.789994723416305
1,63.0,1,0.0,0.0,41074.65,2206320.0,6614.065557104215,15.299983707765742
0,56.0,1,199968.69,216.18236,64854.71,1567690.0,10296.941343485509,14.958260936824876
0,43.0,2,0.0,0.0,0.0,7300.0,1874.880849698477,9.58877681238774
1,40.0,3,19456.412,0.0,0.0,1.0,1708.7238748628502,0.881373587019543
0,64.0,1,2161823.8,342649.06,0.0,56939000.0,56.7151374200572,18.55063825787356
